model	모형, 표본
mom	엄마
money	돈, 화폐
monkey	원숭이
month	달(월)
moon	달
morning	아침
mother	어머니
mountain	산
mouth	입
move	움직이다
movie	영화
Mr.	~씨
Mrs.	~씨 부인
much	많은(양)
music	음악
must	~해야만한다
name	이름
narrow	좁은
near	근처에,가까이
neck	목
need	필요한
never	결코~않다
new	새로운
news	소식
next	다음의
nice	좋은
night	밤
no	~도 없는, 아닌
noise	소음
north	북쪽
nose	코
not	아니다
note	메모, 짥은편지
now	이제
number	숫자
nurse	간호사
o`clock	시(정각)
of	~의
off	떨어져서, 멀리
office	사무실
often	자주
oh	아(감탄사)
oil	기름
OK	좋아
okay	좋아
old	늙은, 오래된
on	~위에, 표면에
once	한번, 옛날에
only	단지, 오직
open	열다
or	또는
orange	오렌지
other	다른
out	밖에
over	~위로
page	페이지
paint	물감, 그리다
pair	한 쌍
pants	바지
paper	종이
pardon	용서
parent	부모님
park	공원
party	파티
pass	통과하다, 지나가다
pay	지불하다
peace	평화
pear	배
pen	펜, 볼펜
pencil	연필
people	사람들, 국민
phone	전화
piano	피아노
pick	고르다, 집다
picnic	소풍
picture	그림, 사진
piece	조각
pig	돼지
pilot	파일럿, 조종사
pin	핀
pine	소나무
pink	분홍색
pipe	파이프
place	장소
plan	계획
plane	비행기
plant	식물
play	놀다
please	제발, 기쁘게하다
pocket	주머니
point	끝, 점
police	경찰
pool	물웅덩이
poor	불쌍한, 가난한
post	우편
poster	포스터, 벽보
potato	감자
practice	연습하다
present	현재의
pretty	예쁜
print	인쇄하다
problem	문제
pull	잡아당기다
push	밀다
put	놓다, 두다
queen	여왕
question	질문
quick	빠른
quiet	조용한
radio	라디오
rain	비
rainbow	무지개
read	읽다
ready	준비된
real	진짜의
record	기록하다, 녹음하다
red	빨간
remember	기억하다
repeat	반복하다
rest	휴식, 나머지
restaurant	식당
return	돌아가다,되돌아오다
ribbon	리본, 띠
rice	쌀,밥
rich	부유한
ride	타다
right	옳은
ring	반지
river	강
road	길
robot	로봇
rock	바위
rocket	로켓
roll	구르다
roof	지붕
room	방
rose	장미
round	둥근
ruler	자
run	달리다
sad	슬픈
safe	안전한
salad	셀러드
salt	소금
same	같은
sand	모래
say	말하다
school	학교
score	점수
sea	바다
season	계절
seat	자리, 좌석
see	보다
sell	팔다
send	보내다
service	서비스, 도움이되는
set	두다, 놓다
shall	~일 것이다
shape	모양
she	그녀, 그녀는
sheep	양
sheet	시트, 한장
ship	배
shirt	셔츠
shoe	신발
shoot	쏘다
shop	가게
short	짧은, 간결한
shoulder	어깨
shout	외치다
show	보여주다
shower	소나기
shut	닫다, 잠그다
sick	병든,아픈
side	옆, 옆부분
sign	표시, 신호, 간판
silver	은
sing	노래하다
sir	님, 귀하
sister	여자형제
sit	앉다
size	크기
skate	스케이트(타다)
skirt	치마
sky	하늘
sleep	자다
slide	미끄러지다
